pecha id,language,url
I94468389,en,https://github.com/OpenPecha/I94468389
I333135C7,de,https://github.com/OpenPecha/I333135C7
I1CFA6EB5,es,https://github.com/OpenPecha/I1CFA6EB5
I431D4AC4,fr,https://github.com/OpenPecha/I431D4AC4
IF33A0D32,it,https://github.com/OpenPecha/IF33A0D32
I678B7104,nl,https://github.com/OpenPecha/I678B7104
IF0492F4D,pt,https://github.com/OpenPecha/IF0492F4D
I8F044EAE,zh,https://github.com/OpenPecha/I8F044EAE
I0AB7F753,bo,https://github.com/OpenPecha/I0AB7F753
